Source	Target	Model	Grammaticality	Meaning Preservation	Simplicity	Overall Quality
The NASCAR Acceleration Nation initiative focuses on the three D 's of speed -- downforce , drafting and drag -- and includes instructional materials for teachers .	the initiative focuses , drafting and drag includes materials .	Hybrid	1	1	1	1
The NASCAR Acceleration Nation initiative focuses on the three D 's of speed -- downforce , drafting and drag -- and includes instructional materials for teachers .	the nascar acceleration location@1 program shows on the three d 's of speed .	EncDecA	3	2	4	2
The NASCAR Acceleration Nation initiative focuses on the three D 's of speed -- downforce , drafting and drag -- and includes instructional materials for teachers .	the nascar -lrb- nascar -rrb- is trying to make the number of people who do n't .	DRESS	1	1	1	1
The NASCAR Acceleration Nation initiative focuses on the three D 's of speed -- downforce , drafting and drag -- and includes instructional materials for teachers .	the 2011 program focuses on the three d 's of speed .	S2S-All-FA	4	2	4	2
The NASCAR Acceleration Nation initiative focuses on the three D 's of speed -- downforce , drafting and drag -- and includes instructional materials for teachers .	the initiative is on the three d 's of speed .	EditNTS	4	2	4	2
The NASCAR Acceleration Nation initiative focuses on the three D 's of speed -- downforce , drafting and drag -- and includes instructional materials for teachers .	the program focuses on the three-speed of -lrb- mph -rrb- .	Transformer	1	1	1	1
The NASCAR Acceleration Nation initiative focuses on the three D 's of speed -- downforce , drafting and drag -- and includes instructional materials for teachers .	the and nation team is in charge of the country 's mayan works .	DMASS	1	1	1	1
The NASCAR Acceleration Nation initiative focuses on the three D 's of speed -- downforce , drafting and drag -- and includes instructional materials for teachers .	the nascar initiative focuses on the three d ' fast-downforce , drafting and drag-and-teacher materials for teachers .	BERT	1	1	1	1
Adrienne Cannon is an expert on African-American history .	adrienne cannon studies african-american history .	Reference	4	3	2	3
Adrienne Cannon is an expert on African-American history .	adrienne call is an expert on the black history .	PBMT-R	2	2	2	2
Adrienne Cannon is an expert on African-American history .	adrienne cannon is an expert .	Hybrid	3	3	4	3
Adrienne Cannon is an expert on African-American history .	adrienne cannon is an expert on african-american history .	EncDecA	4	4	2	4
Adrienne Cannon is an expert on African-American history .	adrienne cannon is an expert on african-american history .	DRESS	4	4	2	4
Adrienne Cannon is an expert on African-American history .	adrienne cannon was an expert on african-american history .	S2S-All-FA	4	3	2	4
Adrienne Cannon is an expert on African-American history .	adrienne cannon is a a hot expert on african-american history .	EditNTS	3	3	2	2
Adrienne Cannon is an expert on African-American history .	ad adrienne cannon is an african-american expert on african-american history .	Transformer	3	2	1	2
Adrienne Cannon is an expert on African-American history .	adrienne cannon is an expert on african-american art .	DMASS	4	1	2	2
Adrienne Cannon is an expert on African-American history .	adrienne cannon is a cannon expert .	BERT	4	1	4	1
Twelve percent of the world 's land is currently protected in national parks and wildlife preserves .	but just one-hundredth of the	Reference	1	1	2	1
Twelve percent of the world 's land is currently protected in national parks and wildlife preserves .	twelve percent of the world 's land is currently protected in national parks and wildlife preserves .	PBMT-R	4	4	2	4
Twelve percent of the world 's land is currently protected in national parks and wildlife preserves .	twelve percent is protected .	Hybrid	2	1	1	1
Twelve percent of the world 's land is currently protected in national parks and wildlife preserves .	six percent of the world 's land is now protected in national parks and wildlife refuges .	EncDecA	4	2	2	2
Twelve percent of the world 's land is currently protected in national parks and wildlife preserves .	seven out of percent of the world 's land is now protected .	DRESS	1	1	4	1
Twelve percent of the world 's land is currently protected in national parks and wildlife preserves .	they are protected in national parks .	S2S-All-FA	4	2	4	2
Twelve percent of the world 's land is currently protected in national parks and wildlife preserves .	national parks and wildlife will also offer .	EditNTS	1	1	3	1
Twelve percent of the world 's land is currently protected in national parks and wildlife preserves .	twelve percent of the world 's land is currently in national parks .	Transformer	2	1	4	2
Twelve percent of the world 's land is currently protected in national parks and wildlife preserves .	most of the world 's waste is currently protected in national parks and wildlife .	DMASS	2	1	4	1
Twelve percent of the world 's land is currently protected in national parks and wildlife preserves .	twelve percent of the world 's land is protected by national parks and wildlife .	BERT	4	2	2	2
Twelve percent of the world 's land is currently protected in national parks and wildlife preserves , while in comparison , just about 1 percent of the high seas is protected .	but just one-hundredth of the	Reference	1	1	2	1
Twelve percent of the world 's land is currently protected in national parks and wildlife preserves , while in comparison , just about 1 percent of the high seas is protected .	twelve percent of the world 's land is currently protected in national parks and wildlife preserves , while in comparison , only about 1 percent of the high seas is protected .	PBMT-R	4	4	2	4
Twelve percent of the world 's land is currently protected in national parks and wildlife preserves , while in comparison , just about 1 percent of the high seas is protected .	twelve percent is protected about 1 percent is protected .	Hybrid	1	1	4	1
Twelve percent of the world 's land is currently protected in national parks and wildlife preserves , while in comparison , just about 1 percent of the high seas is protected .	nearly half of the world 's land is now protected in location@1 .	EncDecA	3	1	2	1
Twelve percent of the world 's land is currently protected in national parks and wildlife preserves , while in comparison , just about 1 percent of the high seas is protected .	nearly half of the world 's land is now protected .	DRESS	4	1	4	1
Twelve percent of the world 's land is currently protected in national parks and wildlife preserves , while in comparison , just about 1 percent of the high seas is protected .	eleven percent of the world 's land is protected .	S2S-All-FA	4	1	4	1
Twelve percent of the world 's land is currently protected in national parks and wildlife preserves , while in comparison , just about 1 percent of the high seas is protected .	the high seas is not allowed to stay .	EditNTS	1	1	3	1
Twelve percent of the world 's land is currently protected in national parks and wildlife preserves , while in comparison , just about 1 percent of the high seas is protected .	twelve percent of the world 's land is currently protected by the national parks .	Transformer	3	2	4	2
Twelve percent of the world 's land is currently protected in national parks and wildlife preserves , while in comparison , just about 1 percent of the high seas is protected .	most of the world 's waste is currently protected in national parks .	DMASS	2	1	4	1
Twelve percent of the world 's land is currently protected in national parks and wildlife preserves , while in comparison , just about 1 percent of the high seas is protected .	twelve percent of the world 's land is protected in national parks and wildlife .	BERT	3	2	4	2
In contrast , just about 1 percent of the high seas is protected .	but just one-hundredth of the	Reference	1	1	2	1
